"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 00:00","2019","01","01","00:00","5.1","","4.3","","94","","0.5","","","M","","M","","","97.99","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 01:00","2019","01","01","01:00","6.2","","5.3","","94","","0.5","","","M","","M","","","97.99","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 02:00","2019","01","01","02:00","5.6","","4.6","","93","","0.0","","","M","","M","","","98.13","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 03:00","2019","01","01","03:00","3.2","","1.4","","88","","0.4","","","M","","M","","","98.53","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 04:00","2019","01","01","04:00","2.7","","0.7","","87","","0.0","","","M","","M","","","98.81","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 05:00","2019","01","01","05:00","2.8","","0.3","","83","","0.0","","","M","","M","","","99.19","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 06:00","2019","01","01","06:00","2.4","","-0.9","","79","","0.0","","","M","","M","","","99.47","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 07:00","2019","01","01","07:00","2.1","","-1.5","","77","","0.0","","","M","","M","","","99.72","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 08:00","2019","01","01","08:00","1.6","","-2.1","","76","","0.0","","","M","","M","","","100.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-01-01 09:00","2019","01","01","09:00","1.2","","-2.7","","75","","0.0","","","M","","M","","","100.28","","","","","","NA"
